S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
1,1995-11-19,1995,Holiday,Weekend,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,High,Closed,nan,Foreigner,Shiite,14,15,0,60,2,nan
2,2000-11-06,2000,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,nan,Media,Shiite,0,3,0,3,1,nan
3,2002-05-08,2002,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel,Hotel,Medium,Closed,nan,Foreigner,Christian,13,15,20,40,1,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi3. PN Shifa
4,2002-06-14,2002,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area,Foreign,High,Closed,nan,Foreigner,Christian,0,12,0,51,1,nan
5,2003-07-04,2003,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44,47,0,65,1,"1.CMH Quetta
2.Civil Hospital 3. Boland Medical Complex"
6,2003-12-25,2003,Holiday,Christmas/birthday of Quaid-e-Azam,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,Shiite,16,18,0,50,2,"1.District headquarters 
Hospital"
7,2004-02-28,2004,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,shiite,0,1,3,4,1,nan
8,2004-05-07,2004,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,KarachiShia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,shiite,14,15,96,200,1,Civil hospital
9,2004-05-31,2004,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,nan,Religious,Shiite,16,18,0,35,1,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center
10,2004-06-03,2004,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,nan,Military,Shiite,0,2,0,2,1,nan
11,2004-07-28,2004,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,Shiite,2,3,0,3,2,CMH Kohat
12,2004-07-30,2004,Working Day,Weekend,Attock,33.7645,72.3667,Punjab,Mr Aziz election rally in jaffar village in fateh jang,Parks_Grounds,Low,Open,Election rally,Government Official,Shiite,0,7,44,70,1,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang
13,2004-10-01,2004,Working Day,Weekend,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city Police & Rangers station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,shiite,25,31,50,75,1,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore
14,2004-10-10,2004,Holiday,Weekend,Lahore,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4,5,6,10,1,Mayo Hospital
15,2005-03-19,2005,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Gandava Town Shrine,Religious,Medium,Closed,Urs Ceremony,Religious,Shiite,25,50,8,100,1,nan
16,2005-04-28,2005,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat,Parks_Grounds,Low,Open,nan,Civilian,Shiite,0,2,0,0,1,nan
17,2005-05-27,2005,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,Medium,Closed,"Shia Muslim Annual 
Congregation",Civilian,Shiite_sunni,20,25,82,100,1,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp
18,2005-05-30,2005,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal,Religious,Medium,Closed,evening prayer,Religious,shiite,5,6,19,30,1,1. Patel Hospital 2. JMPC
19,2006-02-09,2006,Holiday,Ashura,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Parks_Grounds,Low,Open,Ashura Day,Religious,Shiite,37,40,90,0,1,Hangu Hospital
20,2006-03-02,2006,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Infront of USA consulate near marriott hotel,Hotel,Medium,Open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4,5,30,54,1,nan
21,2006-04-12,2006,Holiday,Eid Milad un-Nabi,Karachi,24.9918,66.9911,Sindh,Nishter Park,Parks_Grounds,Medium,Open,Eid Miladun Nabi,Religious,Sunni,47,57,0,100,1,1. Liaquat National Hospital 2. Civil Hospital KHI 3. JPMC 4. Abbasi Shaheed Hospital
22,2006-06-02,2006,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,Bakkahel Area of FR Bannu,Mobile,High,Open,Army convoy,Military,Shiite,6,7,7,8,1,1. Combined Military 2. Hospital Peshawar
23,2006-06-26,2006,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,"Aisha Checkpoint-10km East of 
Miranshah",Military,High,Open,nan,Military,Shiite,6,7,0,26,1,nan
24,2006-08-06,2006,Holiday,Weekend,Lasbela,25.8377,66.5224,Balochistan,"Zehri Street-Main Market
Hub",Market,Low,Open,nan,Civilian,Shiite,0,1,0,0,1,nan
25,2006-11-08,2006,Working Day,Weekend,Malakand ,34.503,71.9046,KPK,Dargai Military Base-100km north of Peshawar,Military,High,Open,Recruits parade,Military,Shiite,40,42,20,39,1,"1. CMH Mardan
2. CMH Peshawar"
26,2006-11-17,2006,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,"Fayaz Khalil Shaheed
Chowk",Mobile,High,Open,Police & Rangers van,Police_Rangers,Shiite,0,1,0,2,1,nan
27,2006-12-03,2006,Holiday,Weekend,Bannu,32.9861,70.6042,KPK,Speen Tangi-Kohatbannu road,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,1,0,1,1,nan
28,2007-01-22,2007,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,"Miltary convoy near Mir ali north
Wazirstan",Mobile,High,Open,Military convoy,Military,Shiite,4,5,23,25,1,nan
29,2007-01-26,2007,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,IslamabadMarriott Hotal,Hotel,Medium,Closed,Indian High Commission Function,Foreigner,Shiite,1,2,5,7,1,1.poly Clinic Hospital
30,2007-01-27,2007,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,near Mosque in QissaKhawani Bazaar,Religious,Medium,Closed,Muharram procession about to start,Civilian,shiite,13,15,30,60,1,1.Lady Reading hospital
31,2007-01-29,2007,Holiday,Ashura,D.G Khan,31.8238,70.9095,KPK,Checkpost Dera Ismial Khan,Police_Rangers,High,Open,Muharram procession,Civilian,shiite,2,3,0,7,1,"1.DIK Headquarters 
Hospital"
32,2007-02-03,2007,Working Day,Weekend,Lakki Marwat,32.6018,70.9148,KPK,"Ghazanikhel Market 
Laik marwat",Market,Low,Open,nan,Civilian,Shiite,0,1,0,0,1,nan
33,2007-02-03,2007,Working Day,Weekend,Tank,31.8238,70.9095,KPK,Military Convoy Barakhel area-tank,Mobile,High,Open,Military convoy,Military,Shiite,0,2,7,8,1,1.CMH  Dera
34,2007-02-06,2007,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,IslamabadAirport,Airport,High,Open,nan,Civilian,Shiite,0,1,3,10,1,nan
35,2007-02-17,2007,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,"QuettaDistrict court senior civil
 judge District Court",Government,High,Closed,nan,Civilian,Shiite,16,17,30,35,1,"1.Quttea Civil hospital 
2.Bolan medical hospital"
36,2007-03-29,2007,Working Day,Weekend,Gujrat,32.5737,74.0786,Punjab,"Army training area guliana 
near Kharian Contonment",Military,High,Open,nan,Military,Shiite,1,2,6,8,1,"1.Combined Military
 Hospital"
37,2007-04-28,2007,Working Day,Weekend,Charsadda,34.1509,71.7359,KPK,"Federal Interior Minister Speech 
rallyy hometown Charsadda",Parks_Grounds,Low,Open,Rally Charsadda,Government Official,Shiite,25,35,29,60,1,"1.District Headquarters Hospital
 2.Lady Reading Hospital"
38,2007-05-15,2007,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,PeshawarHotel,Hotel,Medium,Closed,nan,Foreigner,Sunni,22,26,12,35,1,1.Lady Reading Hospital
39,2007-05-28,2007,Working Day,Weekend,Tank,32.226,70.3761,KPK,Boltonabad aera,Mobile,High,Open,rammed the vehicle into FC vehicle,Military,Shiite,0,3,0,2,1,nan
40,2007-07-04,2007,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,Miltary convoy in bannu Gurbaz area,Mobile,High,Open,Military convoy,Military,Shiite,8,10,9,12,1,1.CMH Peshawar
41,2007-07-12,2007,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Security Force convoy in mingora,Mobile,High,Open,Military convoy,Military,Shiite,6,7,4,8,1,"1.Agency Headquarters 
hospital"
42,2007-07-12,2007,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,Political Agent Office in Miranshah,Government,High,Closed,nan,Government official,Shiite,2,4,0,3,1,nan
43,2007-07-14,2007,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,Razmak town’s Daznaray area-20kms to the north of Miramshah,Mobile,High,Open,Frontier Constabulary convoy,Military,Shiite,23,24,26,29,1,1.CMH Bannu hospital
44,2007-07-15,2007,Holiday,Weekend,D.G Khan,31.8238,70.9095,KPK,Police & Rangers recruitment center,Police_Rangers,High,Closed,recruitment process in progress,Police_Rangers,Shiite,25,30,50,61,1,"1.District Headquarters 
Hospital"
45,2007-07-15,2007,Holiday,Weekend,Swat,35.2227,72.4258,KPK,Matta,Mobile,High,Open,Police & Rangers bus going from Kabal to Matta,Police_Rangers,Shiite,17,20,40,47,1,nan
46,2007-07-17,2007,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,outside the venue of distric bar convention council Islamabad,Government,High,Open,Chief Justice Iftikhar muhammad ch had to address overthere,Government official,Shiite,16,17,50,70,1,1.Fedral govt services hospital 2.PIMS
47,2007-07-17,2007,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan",Military,High,Open,nan,Military,Shiite,0,4,2,3,1,1.CMH Bannu hospital
48,2007-07-19,2007,Working Day,Weekend,Lasbela,25.8377,66.5224,Balochistan,Industrial town hub baluchistan,Mobile,High,Open,chinese engineers were going from Karachito Hub,Foreigner,Christian,28,30,28,50,1,nan
49,2007-07-19,2007,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Training Center in Hangu,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,6,8,30,35,1,nan
50,2007-07-19,2007,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,KohatMosque,Religious,Medium,Closed,nan,Religious,Sunni,15,20,8,58,1,CMH Kohat
51,2007-07-20,2007,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan",Military,High,Open,nan,Military,Shiite,0,4,5,6,1,nan
52,2007-07-27,2007,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,near Hotel in Abpara market,Hotel,Medium,Closed,nan,Police_Rangers,Shiite,14,15,50,70,1,"1.Federal Government
 services hospital
2.Capital Development 
Authority hospital"
53,2007-08-03,2007,Working Day,Weekend,Swat,35.2227,72.4258,KPK,District Swatgora village matta,Mobile,Low,Open,nan,Civilian,Shiite,0,2,5,6,1,nan
54,2007-08-04,2007,Working Day,Weekend,Kuram Agency ,32.9746,70.1456,FATA,Parachinar,Transport,Low,Open,nan,Civilian,Sunni,9,23,35,43,1,"1.Agency Headqurters 
Hospital"
55,2007-08-17,2007,Working Day,Weekend,Tank,32.226,70.3761,KPK,Military Convoys in Tankdistrict,Mobile,High,Open,nan,Military,Shiite,0,0,3,5,1,nan
56,2007-08-19,2007,Holiday,Weekend,North Waziristan,32.9746,70.1456,FATA,"North Wazirstan Mirali Military
 checkpost",Military,High,Open,nan,Military,Shiite,0,2,0,2,1,nan
57,2007-08-19,2007,Holiday,Weekend,Bannu,32.9861,70.6042,KPK,Bannu Police & Rangers Check post,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,1,0,4,1,nan
58,2007-08-20,2007,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,"Checkpost on thall-parachinar road/kurram road
 mandori village",Military,High,Open,nan,Military,Shiite,3,7,14,18,1,1.Nawagai hospital
59,2007-08-24,2007,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,miranshah Military convoys,Mobile,High,Open,military convoy,Military,Shiite,6,7,22,37,2,1.Bannu Hospital
60,2007-08-26,2007,Holiday,Weekend,Shangla ,34.8015,72.757,KPK,Machaar area of Shangla District,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,4,0,2,1,nan
61,2007-09-01,2007,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Truck carrying security personeel was attacked in Mamond area,Mobile,High,Open,truck carrying security personnel,Military,Shiite,3,7,4,9,1,"1.Agency Headquarters 
hospital"
62,2007-09-01,2007,Working Day,Weekend,South Waziristan,32.3202,69.8597,FATA,check-post of the troops in the Jandola area of South Waziristan.,Military,High,Closed,nan,Military,Shiite,0,0,0,0,1,nan
63,2007-09-04,2007,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,1.Qasim Market Defence Ministry Bus,Mobile,High,Open,nan,Military,Shiite,18,25,0,0,2,"1.District Headquarters Rwp
2.Rwp General Hospital"
64,2007-09-04,2007,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Near R.A Bazar behind general Headquarters,Market,Low,Open,nan,Military,Shiite,0,7,0,0,1,"1.District Headquarters Rwp
2.Rwp General Hospital"
65,2007-09-11,2007,Working Day,Weekend,D.G Khan,31.8238,70.9095,KPK,Passanger van at Bannu adda/chungi,Mobile,Low,Open,nan,Civilian,Shiite,17,19,16,19,1,"DI Khan Headquarter
 hospital"
66,2007-09-13,2007,Working Day,Weekend,Haripur,34.0011,72.9372,KPK,army officers mess in Tarbela ghazi,Military,High,Closed,military convoy,Military,Shiite,15,20,11,46,1,"1.Wapda Hospital    2.CMH Pindi 
3.CMH Attock"
67,2007-09-22,2007,Working Day,Weekend,Tank,32.226,70.3761,KPK,military convoy going from Tank,Mobile,High,Open,,Military,Shiite,0,5,3,10,1,nan
68,2007-10-01,2007,Working Day,Weekend,bannu,32.9861,70.6042,KPK,checkpost near Dawa bridge/Durani Abshar Chowk,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,16,29,32,1,"1.District Headquartar 
Hospital"
69,2007-10-18,2007,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,"Benazir Survives midnight 
carnage Karsaz bridge Sharea Faisal",Mobile,High,Open,Rally ppp,Government Official,Shiite,125,145,100,550,2,"1.Jinnah Hospital 
2.Liaquat hospital"
70,2007-10-25,2007,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Line,Mobile,High,Open,nan,Military,Shiite,20,38,28,35,1,1.Saidu Shrif hospital
71,2007-10-30,2007,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,"Rawalpindi Police & Rangers checkpoint 
security zone",Police_Rangers,High,Open,nan,Military,Shiite,7,8,18,31,1,1.CMH 2.Civil hospital
72,2007-11-01,2007,Working Day,Weekend,Sargodha,32.0791,72.6718,Punjab,PAF Bus on faisalabad road-Sargodha,Mobile,High,Open,PAF Bus,Military,Shiite,8,10,27,40,1,"1.PAF Sargodha 
2.CMH Rwp"
73,2007-11-09,2007,Holiday,Iqbal Day,Peshawar,34.0043,71.5448,KPK,"Peshawar Federal minister 
political amir muqam house",Residence,Low,Closed,Political Affairs meeting,Government Official,Shiite,3,4,2,5,1,1.Hayatabad Medical Complex
74,2007-11-24,2007,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Bus carrying ISI officals parked outside Hamza Camp faizabad,Mobile,High,Open,Hamza camp,Military,Shiite,17,38,0,35,1,"1.Military Hospital 
2.Rawalpindi hospital"
75,2007-11-24,2007,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,GHQ,Military,High,Open,nan,Military,Shiite,0,1,2,5,1,nan
76,2007-12-04,2007,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Checkpost high-security cantonment area babar road,Military,High,Open,nan,Military,Shiite,0,1,0,0,1,nan
77,2007-12-09,2007,Holiday,Weekend,Swat,35.2227,72.4258,KPK,Ningolai Security checkpost,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,10,13,0,2,1,nan
78,2007-12-10,2007,Working Day,Weekend,Attock,33.7645,72.3667,Punjab,Truck carrying school children near Fauji gate Pakistan Aeranautical Complex,Mobile,Low,Open,nan,Children_Women,Shiite,0,0,7,22,1,1.CMH Rwp
79,2007-12-13,2007,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,military Checkpost,Military,High,Open,nan,Military,Shiite,5,12,22,23,2,1.CMH hospital
80,2007-12-15,2007,Working Day,Weekend,Nowshehra,34.0322,73.0944,KPK,Noshera security check post,Military,High,Open,nan,Military,Shiite,5,6,11,20,1,1.CMH Nowshera
81,2007-12-17,2007,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,Kohatcantt-fountain round about-near army public school,Military,High,Open,recruits returning to barracks after morning exercise,Military,Shiite,0,12,2,5,1,Combine Military hospital
82,2007-12-21,2007,Holiday,Eid-ul-azha,Charsadda,34.1509,71.7359,KPK,CharsaddaJamiya Masjid,Religious,Medium,Closed,Masjid,Civilian,Sunni,0,60,0,200,1,nan
83,2007-12-23,2007,Holiday,Weekend,Swat,35.2227,72.4258,KPK,military convoy hit in mingora,Mobile,High,Open,nan,Military,Shiite,9,14,0,23,1,nan
84,2007-12-27,2007,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi Liaquat Bagh Park,Parks_Grounds,Low,Open,attack on Benazir Bhutto,Government official,Shiite,21,30,48,70,1,Rawalpindi General hospital
85,2008-01-07,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,infront of frontier house kabal,Military,High,Open,Security forces,Military,Shiite,0,0,12,13,1,nan
86,2008-01-10,2008,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,LahoreHigh court,Government,High,Open,lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the Police & Rangers officials outside the court,Police_Rangers,Shiite,24,26,73,80,1,1.Mayo-Ganga ram hospital
87,2008-01-15,2008,Working Day,Weekend,Mohmand agency ,32.9746,70.1456,FATA,checkpoint of security forces in Khapakh Kando near Ghalanai,Military,High,Open,Frontier Constabulary,Military,Shiite,1,1,0,0,1,Ghalani hospital
88,2008-01-17,2008,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Mirza Qasim baig Imambargah Jangi Mohallah-Kohati,Religious,Medium,Closed,Imambargah,Religious,shiite,10,12,0,25,1,1.Lady Reading hospital
89,2008-02-01,2008,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,Kajhori checkpost north waziristan,Police_Rangers,High,Open,Checkpost,Police_Rangers,Shiite,5,7,13,15,1,1.CMH bannu 2.MH Bannu
90,2008-02-04,2008,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Infront of NLC office near GHQ Rwp,Mobile,High,Open,bus carrying students and officials of army medical college-,Military,Shiite,8,10,27,47,1,1.CMH 2.MH 3. DHQ
91,2008-02-05,2008,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,QuettaKhilji Conlony,Parks_Grounds,Low,Open,Khilji colony,Civilian,Shiite,0,1,0,1,1,nan
92,2008-02-09,2008,Working Day,Weekend,Charsadda,34.1509,71.7359,KPK,Nakai in Charsadda,Residence,Low,Closed,Awami National Party meeting was in progress,Government Official,Shiite,25,27,35,51,1,1.Lady Reading Hospital 2. DHQ Charsadda
93,2008-02-11,2008,Working Day,Weekend,North Waziristan,32.9746,70.1456,FATA,Aidak village in mirali-near miranshah,Religious,Low,Open,ANP gathring,Government official,Shiite,6,10,9,13,1,nan
94,2008-02-16,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Mingora-army media center on saidu sharif road,Military,High,Closed,army media center and base near Gul Kadda,Military,Shiite,2,3,14,18,1,District headquarters hospital saidu sharif
95,2008-02-16,2008,Working Day,Weekend,Kuram Agency ,35.2227,72.4258,FATA,PPP election office in Eidgah market of Parachinar bazar,Government,High,Closed,nan,Government official,Shiite,38,47,109,110,1,Agency headquarter hospital
96,2008-02-25,2008,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi-R.A bazar mall road Sadar-nadira suift center,Mobile,High,Closed,near Surgeon-gernal car on signal,Military,Shiite,0,8,20,30,1,1.CMH 2.MH 3.Contonment hospital 4. rwp general hospital 5. DHQ hospital
97,2008-02-29,2008,Working Day,Weekend,Swat,32.935,70.6688,KPK,SwatMingora DSP Funeral,Parks_Grounds,Low,Open,nan,Police_Rangers,Shiite,38,45,40,100,1,1.Saidu Shrif hospital
98,2008-03-01,2008,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Khar-jardar area,Mobile,High,Open,nan,Military,Shiite,0,2,0,23,1,nan
99,2008-03-02,2008,Holiday,Weekend,Dara Adam Khel,33.6854,71.5131,KPK,Dara adamkhel Jirga,Parks_Grounds,Low,Open,peace Jirga,Anti_Militants,Shiite,40,43,50,60,1,1.Lady Reading Hospital 2.Hayatabad medical Complex
100,2008-03-04,2008,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Navy war college mall road Lahore,Military,High,Closed,Navy college,Military,Shiite,4,8,15,24,2,1.CMH 2.Service hospital
101,2008-03-11,2008,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,FIA building Temple road near The Mall-near regal chowk,Government,High,Closed,nan,Government Official,Shiite,26,31,175,200,1,1.Ganga Ram Hospita 2.Mayo Hospital
102,2008-03-11,2008,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Bungalow no 83/F Model Town-an advertising agency office,Residence,Low,Closed,nan,Civilian,Shiite,3,6,0,12,1,Ganga Ram hospital
103,2008-03-17,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Lines,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,2,3,5,7,1,Saidu Sharif hospital
104,2008-03-20,2008,Holiday,Eid Milad un-Nabi,South Waziristan,32.3202,69.8597,FATA,Army Camp at Zari noor-Wana,Military,High,Closed,nan,Military,Shiite,0,5,9,11,1,Military Hospital
105,2008-05-01,2008,Holiday,Labour Day,Khyber Agency,34.0211,71.2874,FATA,Takia-Bar Qambarkhel Mosque,Religious,Medium,Closed,nan,Religious,Sunni,0,2,17,30,1,nan
106,2008-05-06,2008,Working Day,Weekend,Bannu,32.935,70.6688,KPK,Bannu Police & Rangers  check post,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,3,7,10,15,1,1.DHQ 2.CMH
107,2008-05-09,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Station,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,0,1,3,4,1,1.district headquarters hospital saidu sharif
108,2008-05-18,2008,Holiday,Weekend,Mardan,34.1982,72.0444,KPK,Military run bakery near a punjab regiment center in Mardan cantt,Military,High,Closed,nan,Military,Shiite,11,13,23,25,1,1.CMH 2.District Headqurtar Hospital
109,2008-06-02,2008,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,IslamabadDanish Embassy,Foreign,High,Closed,nan,Foreigner,Jews,0,8,25,30,1,1.PIMS 2.Federal Government Service Hospital
110,2008-07-06,2008,Holiday,Weekend,Islamabad,33.718,73.0718,Capital,Melody market near lal masjid,Market,Low,Open,nan,Police_Rangers,Shiite,15,20,20,47,1,1.PIMS 2.Poly Clinic 3.Federal Government Service Hospital
111,2008-07-13,2008,Holiday,Weekend,D.G Khan,31.8238,70.9095,KPK,Shiite gathering -Near kotli imam Hussain,Religious,Medium,Closed,nan,Religious,Shiite,0,1,3,4,1,nan
112,2008-08-13,2008,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,neaar Iqbal Town Police & Rangers Station Lahoreat dubai CHOWK SIGNAL,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,8,9,20,35,1,1.Sheikh Zahid Hospital
113,2008-08-19,2008,Working Day,Weekend,D.G Khan,31.8238,70.9095,KPK,Distric headquarter hospital,Hospital,Low,Closed,during the shiite protest against the death of shiite govt official,Civilian,Shiite,30,32,33,55,1,1.Combined Military Hospital
114,2008-08-21,2008,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Wah Cant Pakistn Ordinance Factories,Military,High,Closed,nan,Government Official,Shiite,70,100,67,200,2,pof hospital
115,2008-08-23,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Charbagh checkpost,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,7,15,0,20,1,1.Saidu sharif hospital
116,2008-08-29,2008,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,army base camp/emergency center near Kohattunnel,Military,High,Closed,nan,Military,Shiite,2,5,25,39,1,1.CMH Kohat
117,2008-09-06,2008,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Zangali Checkpost on Kohatroad,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,30,35,70,90,1,Lady Reading Hospital-Khyber teaching-Hayatabad complex
118,2008-09-16,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Kabal check post,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,2,10,0,25,1,nan
119,2008-09-20,2008,Working Day,Weekend,North waziristan,32.9746,70.1456,KPK,military convoy on Miranshah road near Norak,Mobile,High,Open,nan,Military,Shiite,7,17,5,20,1,1.CMH Bannu hospital
120,2008-09-20,2008,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,IslamabadMarriott Hotal,Hotel,Medium,Closed,nan,Foreigner,Shiite,40,60,200,300,1,1.Poly Clinic  2. PIMS
121,2008-09-22,2008,Working Day,Weekend,Swat,35.2227,72.4258,KPK,military security checkpost in Madian Town swat,Military,High,Open,nan,Military,Shiite,9,13,2,3,1,nan
122,2008-09-24,2008,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Quettacantt military Check post,Military,High,Open,nan,Military,Shiite,1,14,22,25,1,1.CMH Hospital 2.Civil Hospital
123,2008-10-03,2008,Holiday,Eid-ul-Fitar,Peshawar,34.0043,71.5448,KPK,wali bagh Charsadda,Residence,Medium,Closed,nan,Government Official,Shiite,4,5,0,18,1,1.District Hospital Charsadda
124,2008-10-06,2008,Working Day,Weekend,Bhakkar ,31.6216,71.065,Punjab,Bhakkar Rasheed Noranni MNA house,Residence,Medium,Closed,nan,Government Official,Shiite,22,26,60,100,1,1.Nishtar Hospital Multan
125,2008-10-09,2008,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,IslamabadPolice & Rangers line-anti terrorist squad building,Police_Rangers,High,Closed,lawmakers gathered for a secret security briefing,Police_Rangers,Shiite,0,0,6,12,1,1. PIMS 2.Federal Government Services
