S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
301,2011-03-01,2011,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,near MDA flats along national highway-in Shah Latif Town,Parks_Grounds,Low,Open,nan,Civilian,Shiite,0,0,0,0,1,nan
302,2011-03-03,2011,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,spin khawri chowk,Mobile,Low,Open,nan,Police_Rangers,Shiite,5,9,30,36,1,nan
303,2011-03-09,2011,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Adezai Village-sheikh Neka graveyard,Parks_Grounds,Low,Open,nan,Anti_Militants,Sunni,37,43,0,52,1,Lady Reading Hospital
304,2011-03-24,2011,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Rescue 15 Building adjecent to Police & Rangers station in Thall,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,5,8,25,30,1,CMH Thall
305,2011-03-30,2011,Working Day,Weekend,Swabi ,34.1335,72.4702,KPK,Peshawar- IslamabadMotorway-Swabi Interchange,Police_Rangers,High,Open,nan,Government Official,Shiite,10,13,12,23,1,Shahmansoor Hospital Complex/Swabi District Hospital/khunda Civil Hospital and  LRH Peshawar
306,2011-03-31,2011,Working Day,Weekend,Charsadda,34.1509,71.7359,KPK,Near DCO office-Nowshehra road,Parks_Grounds,Low,Open,nan,Government Official,Shiite,0,12,20,42,1,Lady reading hospital
307,2011-04-01,2011,Working Day,Weekend,Dara Adam khel,33.6854,71.5131,KPK,near a mosque in Dara adam khel bazar-khalid market,Market,Low,Open,peace committee members were present in mosque,Anti_Militants,Sunni,0,1,2,8,1,nan
308,2011-04-03,2011,Holiday,Weekend,D.G Khan,30.05,70.6333,KPK,sakhi arwar shrine-40 km away from D.G Khan,Religious,Medium,Open,Urs ceremony,Religious,Sunni,42,50,100,114,2,sakhi sarwar civil hospital-dera district headquarters hospital
309,2011-04-04,2011,Working Day,Weekend,Lower Dir,34.8453,71.9046,KPK,Bargain Car market in Munda area of Lower Dir District,Market,Low,Open,nan,Anti_Militants,Sunni,7,9,22,30,1,Temargara Hospital
310,2011-04-07,2011,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Gulistan road-also known as Police & Rangers lines,Residence,Medium,Open,nan,Police_Rangers,Shiite,0,1,17,19,1,Civil hospital-CMH
311,2011-04-23,2011,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Salarzai area-65 km northeast of khar,Mobile,Low,Open,nan,Anti_Militants,Sunni,0,5,5,8,1,Agency headquarter hospital in Miranshah
